product_name,price,product_image,category,sold,disccount,free_ongkir,cod
( PPLUS ) KIPAS ANGIN PENDINGIN MINI AC \ AIR COOLER MOBIL DAN RUANGAN  / KIPAS ANGIN PENDINGIN SPRAY AIR,67.000,https://down-id.img.susercontent.com/file/id-11134207-7qul3-li0hoxn9hmnk91_tn,elektronik,10RB+ Terjual,-58%,true,true
VISHAL Combo 3IN1 (COD) Stainless Blender Daging Penggiling +1Set Pisau + 4Pcs Mangkuk Set,105.000,https://down-id.img.susercontent.com/file/sg-11134201-7rblk-lmf0mmj2ov55bb_tn,elektronik,"6,2RB Terjual",-34%,true,true
Paket Lengkap Lampu Neon Flex 220v Flexible 1 2 3 4 5 meter Waterproof Strip Outdoor Untuk Buat Huruf Dekorasi kamar tidur cafe rumah Lentur Detak jantung tempel dinding hias kamar aestetic,58.000,https://down-id.img.susercontent.com/file/id-11134207-7r98y-lmeca0e27fa715_tn,elektronik,"5,8RB Terjual",-52%,true,true
CARTRIDGE  SPUN  SEDIMEN PP FILTER AIR NANO KOLON DEWATER FILTER 10 INCH 01 03 05 10 MICRON,5.999,https://down-id.img.susercontent.com/file/sg-11134201-23010-eolqrkjhmymvca_tn,elektronik,10RB+ Terjual,-25%,true,true
[ Pplus ] Lampu Proyektor Dengan Speaker Langit Malam Bintang 2 IN 1   Lampu Starry Projector Light Lampu Tidur/ Lampu Proyektor Galaxy / Lampu tidur anak / lampu dekorasi ruangan live / Starry proyektor  kamar aesthetic / Lampu Proyektor untuk Pesta,72.000,https://down-id.img.susercontent.com/file/id-11134207-7qukx-lfaz604ix70u8a_tn,elektronik,10RB+ Terjual,-67%,true,true
[Advance ID] READY STOCK!! Kipas Angin Uap air embun/air cooler fan CF-06A /AC Portable Air Cooler Super Dingin 600ml / Kipas Angin Portable Mini,95.000,https://down-id.img.susercontent.com/file/id-11134207-7r98x-lmyd8ad0mk1zde_tn,elektronik,"5,3RB Terjual",,true,true
SAMONO Food Processor Food Chopper 300ml Mesin Penghalus Daging dan Buah Garansi Resmi 1 Tahun SW-MC200,114.900,https://down-id.img.susercontent.com/file/id-11134207-7r98u-lmn0irbhfkp8bc_tn,elektronik,10RB+ Terjual,-77%,true,true
Goto Oliver Electric Pan 2L Fry Pan Portable Panci Listrik Serbaguna,104.900,https://down-id.img.susercontent.com/file/2b95fe52f241673a1bf7b94088ab6c86_tn,elektronik,10RB+ Terjual,-72%,true,true
"PAKET SPECIAL COMBO PRESTO ( BLENDER CHOPPER , HAND MIXER, PANCI PRESTO )",162.000,https://down-id.img.susercontent.com/file/id-11134207-7r98q-lp61lpehesfnd0_tn,elektronik,"7,5RB Terjual",-54%,true,true
Vacuum Cleaner Portable Alat Penyedot Debu Serbaguna Mobil Vakum Pembersih,30.100,https://down-id.img.susercontent.com/file/id-11134207-7r98v-lmdf4zicrqjj2c_tn,elektronik,10RB+ Terjual,-65%,true,true
